# 4개 리스트 비교표 (산림청/블랙야크/한국의산하/월간산) — 출처: 100mountain.co.kr
# 형식: 산이름 | 지역(시/도 약칭) | 산림청 블랙야크 한국의산하 월간산  (O/X)
# 산림청·블랙야크 컬럼은 기존 검증 데이터(registry)를 우선하고, 한국의산하·월간산 컬럼만 사용.
관악산 | 서울 | O O O O
도봉산 | 서울 | O O O O
북한산 | 서울 | O O O O
수락산 | 서울 | X O O O
불암산 | 서울 | X X O X
청계산 | 서울 | X O O O
금정산 | 부산 | O O O O
비슬산 | 대구 | O O O O
마니산 | 인천 | O O O O
고려산 | 인천 | X X X O
무등산 | 광주 | O O O O
계룡산 | 대전 | O O O O
신불산 | 울산 | O O O O
가지산 | 울산 | O O O O
연인산 | 경기 | X O O O
명지산 | 경기 | O O O O
화악산 | 경기 | O O O O
유명산 | 경기 | O O O X
운악산 | 경기 | O O O X
남한산 | 경기 | X X O O
축령산 | 경기 | O X O X
서리산 | 경기 | X X X O
천마산 | 경기 | O O O O
소요산 | 경기 | O O O O
광교산 | 경기 | X X O X
수리산 | 경기 | X X O X
용문산 | 경기 | O O O O
백운산 | 경기 | O X O X
감악산 | 경기 | O O O O
명성산 | 경기 | O X O O
검단산 | 경기 | X X O X
감악산 | 강원 | X O X X
노인봉 | 강원 | X O X O
대암산 | 강원 | O X X O
두타산 | 강원 | O O O O
덕항산 | 강원 | O O X X
응봉산 | 강원 | O O O O
점봉산 | 강원 | O X X O
백덕산 | 강원 | O O X O
태화산 | 강원 | O O X X
마대산 | 강원 | X X X O
백운산 | 강원 | O O X X
치악산 | 강원 | O O O O
방태산 | 강원 | O O O X
설악산 | 강원 | O O O O
가리왕산 | 강원 | O O O O
민둥산 | 강원 | X X O O
오봉산 | 강원 | O O O X
삼악산 | 강원 | O O O O
가리산 | 강원 | O O O O
태백산 | 강원 | O O O O
함백산 | 강원 | X O X O
금대봉 | 강원 | X X X O
오대산 | 강원 | O O O O
선자령 | 강원 | X X O X
공작산 | 강원 | O X X X
팔봉산 | 강원 | O O O O
계방산 | 강원 | O O O O
문암산 | 강원 | X X X O
용화산 | 강원 | O O X X
청화산 | 충북 | X O X X
칠보산 | 충북 | X O O X
도락산 | 충북 | O O O X
민주지산 | 충북 | O O O O
천태산 | 충북 | O O O X
금수산 | 충북 | O O O X
월악산 | 충북 | O O O O
서대산 | 충남 | O X O O
진악산 | 충남 | X X X O
대둔산 | 충남 | O O O O
가야산 | 충남 | X O O X
덕숭산 | 충남 | O X O O
광덕산 | 충남 | X O X X
칠갑산 | 충남 | O O O O
오서산 | 충남 | X O O X
용봉산 | 충남 | X O O X
선운산 | 전북 | O O O O
모악산 | 전북 | O O O O
지리산 | 전북 | O O O O
바래봉 | 전북 | X O O X
반야봉 | 전북 | X O X X
만행산 | 전북 | X X X O
적상산 | 전북 | O X X O
덕유산 | 전북 | O O O O
변산 | 전북 | O O O O
강천산 | 전북 | O X O O
백암산 | 전북 | O O X X
장안산 | 전북 | O O O O
신무산 | 전북 | X X X O
백운산 | 전북 | X X X O
내장산 | 전북 | O O O O
구봉산 | 전북 | X O X X
마이산 | 전북 | O O O O
운장산 | 전북 | O O X X
천상데미 | 전북 | X X X O
덕룡산 | 전남 | X O X X
팔영산 | 전남 | O O O X
동악산 | 전남 | X O X X
백운산 | 전남 | O O O O
추월산 | 전남 | O X O X
병풍산 | 전남 | X X X O
조계산 | 전남 | O O O O
불갑산 | 전남 | X O X O
월출산 | 전남 | O O O O
방장산 | 전남 | O O X X
축령산 | 전남 | X O X X
제암산 | 전남 | X X X O
천관산 | 전남 | O O O O
두륜산 | 전남 | O O O O
달마산 | 전남 | X O O X
깃대봉 | 전남 | O X X X
영취산 | 전남 | X X X O
남산 | 경북 | O O O O
토함산 | 경북 | X X X O
금오산 | 경북 | O O O O
황악산 | 경북 | O O O X
희양산 | 경북 | O X X O
주흘산 | 경북 | O O O O
조령산 | 경북 | X O O O
대야산 | 경북 | O O O X
황장산 | 경북 | O X X X
청량산 | 경북 | O O O O
문수산 | 경북 | X X X O
일월산 | 경북 | X X X O
속리산 | 경북 | O O O O
구병산 | 경북 | O O O X
내연산 | 경북 | O O O O
소백산 | 경북 | O O O O
성인봉 | 경북 | O X X O
운문산 | 경북 | O X O O
주왕산 | 경북 | O O O O
팔공산 | 경북 | O O O O
금산 | 경남 | O X O O
무학산 | 경남 | O X X X
천주산 | 경남 | X X X O
재약산 | 경남 | O O O O
천황산 | 경남 | X X X O
천성산 | 경남 | O O O X
연화산 | 경남 | O X X O
화왕산 | 경남 | O O O O
지리산 | 경남 | O X O O
미륵산 | 경남 | O X O X
황석산 | 경남 | O O X X
남덕유산 | 경남 | X X O X
황매산 | 경남 | O O O O
가야산 | 경남 | O O O O
남산제일봉 | 경남 | X X O X
계룡산 | 경남 | X X X O
한라산 | 제주 | O O O O
